bank_name
3i
AMP
AXA
Admiral
Aegon
Aetna
Aflac
Aimia
Allianz
Allied Irish Banks
Allstate
American Express
American International
American National Insurance
Aon
Assicurazioni Generali
Aviva
Axis Capital
Azimut
BM&FBovespa
BNP Paribas
Banca Popolare dell'Etruria e del Lazio
Banco Bilbao Vizcaya Argentaria
Banco Bradesco
Banco Espanol de Credito
Banco Espirito Santo
Banco Popolare SC
Banco Popular Espanol
Banco Santander Brasil SA
Banco de Chile
Banco de Sabadell
Banco do Brasil
Bank Danamon Indonesia
Bank Hapoalim BM
Bank Leumi Le-Israel BM
Bank Mandiri Persero
Bank Negara Indonesia Persero
Bank Rakyat Indonesia Persero
Bank of America
Bank of China
Bank of Montreal
Bank of New York Mellon
Bank of Nova Scotia
Bank of Queensland
Bank of the Philippine Islands
Bankinter
Banque Centrale Populaire
Barclays
Berkshire Hathaway
BlackRock
Brookfield Asset Management
CIMB  Bhd
CIT
CITIC Securities
Canadian Imperial Bank of Commerce
Capital One Financial
Cash America International
Charles Schwab
Chiba Bank
China Construction Bank
China Everbright International
China Minsheng Banking
Cigna
Comerica
Commerzbank
Commonwealth Bank of Australia
Credit Agricole
Credit Suisse
DGB Financial
Dai-ichi Life Insurance
Daimler
Daiwa Securities
Danske Bank
Delta Lloyd
Deutsche Bank
Dexia
Discover Financial Services
Discovery
E*TRADE Financial
EarthLink
Equity Residential
Erste Bank
Experian
Fifth Third Bancorp
First International Bank Of Israel
Fiserv
Franklin Resources
Gazprom OAO
Goldman Sachs
Governor of the Bank of Ireland
HSBC
Hannover Rueckversicherung
Hargreaves Lansdown
Heineken
Henderson
Higher One
ICICI Bank
ING Groep
IndusInd Bank
Industrial Bank of Korea
Industrivarden
Intesa Sanpaolo
Israel Discount Bank
Itau Unibanco
JPMorgan Chase
Jupiter Fund Management
Jyske Bank
KBC Groep
KeyCorp
Legal & General
Lloyds Banking
London Stock Exchange
Lundbergforetagen
M&T Bank
MF Global
Macquarie
Manulife Financial
Mapfre
Marriott International Inc
Mastercard
Mediobanca
Mitsubishi
Mitsubishi UFJ Financial
Mizrahi Tefahot Bank
Mizuho Financial
Moody's
Morgan Stanley
NYSE Euronext
National Australia Bank
National Bank of Canada
Nedbank
Nomura
Northern Trust
Novartis
Ocwen Financial
Old Mutual
POSCO
People's United Financial
Perpetual
Provident Financial
Prudential
Prudential Financial
Public Bank Bhd
RSA Insurance
Record
Resona
Roche
Royal Dutch Shell
SNS REAAL
SVB Financial
Schroders
Shinsei Bank
Societe Generale
Sony
Standard Bank
Standard Chartered
Standard Life
State Bank of India
State Street
Stifel Financial
Sumitomo
Sumitomo Mitsui Trust
Sun Life Financial
SunTrust Banks
Svenska Handelsbanken
Swedbank
Swiss Life
Swiss Re
Swisscom
Sydbank
Synovus Financial
T Rowe Price
Topdanmark
Toronto-Dominion Bank
Total System Services
Tryg
Turkiye Garanti Bankasi
UBS
US Bancorp
UniCredit
United Overseas Bank
VTB Bank OJSC
Visa
WellCare Health Plans
WellPoint
Wells Fargo
Westpac Banking
XL
Yes Bank
Zions Bancorporation
Zurich Insurance
