date,isin_corporate_name_cleaned,company_parent_country,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2010-10-28,,US,US,,,,,,Rainforest Action Network RAN,,,,
2010-10-28,Swedbank ,Sweden,Sweden,,,,,,Greenpeace Norway,,,,
2010-10-28,BNP Paribas ,France,Brazil,France,,,,,Greenpeace France,,,,
2010-10-27,,UK,UK,,,,,,Which? (UK Consumers Association),,,,
2010-10-27,Lloyds Banking  ,UK,UK,,,,,,Which? (UK Consumers Association),,,,
2010-10-27,,Spain,UK,,,,,,Which? (UK Consumers Association),,,,
2010-10-27,,UK,Canada,,,,,,Greenpeace Canada,OPIRG Ontario,Defenders of the Land,,
2010-10-26,,US,South Africa,,,,,,Svenska Kyrkan (Church of Sweden) ,Diakonia,,,
2010-10-25,,US,US,,,,,,As You Sow,,,,
2010-10-25,,US,India,US,,,,,Friends of the Earth U.S. / FoE U.S.,Sierra Club U.S.A.,Pacific Environment,,
2010-10-25,BNP Paribas ,France,France,Italy,Russia,,,,Greenpeace France,Greenpeace Russia,Greenpeace Italy,,
2010-10-21,,US,UK,,,,,,Stop Huntingdon Animal Cruelty / SHAC,,,,
2010-10-21,,US,UK,,,,,,Stop Huntingdon Animal Cruelty / SHAC,,,,
2010-10-19,,UK,France,,,,,,60 Millions de Consommateurs INC,,,,
2010-10-18,AXA ,France,France,,,,,,Amis de la Terre France / FoE France,Peuples Solidaires,CRID ,,
2010-10-18,,France,France,,,,,,Amis de la Terre France / FoE France,Peuples Solidaires,CRID ,,
2010-10-18,,US,South Africa,,,,,,Amis de la Terre France / FoE France,,,,
2010-10-15,,US,US,,,,,,Consumer Watchdog / Foundation for Taxpayer and Consumer Rights,,,,
2010-10-15,Allstate ,US,US,,,,,,Consumer Watchdog / Foundation for Taxpayer and Consumer Rights,,,,
2010-10-15,,US,US,,,,,,Consumer Watchdog / Foundation for Taxpayer and Consumer Rights,,,,
2010-10-14,,UK,Belgium,,,,,,Friends of the Earth Europe / FoE Europe,,,,
2010-10-12,JPMorgan Chase ,US,US,,,,,,Sierra Club U.S.A.,Rainforest Action Network RAN,,,
2010-10-12,Wells Fargo ,US,US,,,,,,Sierra Club U.S.A.,Rainforest Action Network RAN,,,
2010-10-12,,US,US,,,,,,Sierra Club U.S.A.,Rainforest Action Network RAN,,,
2010-10-12,,UK,Nigeria,,,,,,Global Witness,,,,
2010-10-12,HSBC   ,UK,Nigeria,,,,,,Global Witness,,,,
2010-10-12,Barclays  ,UK,Nigeria,,,,,,Global Witness,,,,
2010-10-12,,UK,Nigeria,,,,,,Global Witness,,,,
2010-10-11,,US,US,,,,,,Oxfam America,,,,
2010-10-11,,US,US,,,,,,Oxfam America,,,,
2010-10-11,,US,US,,,,,,Natural Resource Governance Institute (Revenue Watch Institute),,,,
2010-10-11,,US,US,,,,,,Natural Resource Governance Institute (Revenue Watch Institute),,,,
2010-10-11,,US,Sweden,,,,,,Djurrattsalliansen,,,,
2010-10-11,,US,UK,,,,,,Animal Liberation Front ALF UK,Stop Huntingdon Animal Cruelty / SHAC,,,
2010-10-08,,US,US,,,,,,Oil Change International / Price of Oil,,,,
2010-10-06,,US,US,,,,,,Friends of the Earth U.S. / FoE U.S.,,,,
2010-09-24,,France,Spain,,,,,,COAG Spain,,,,
2010-09-23,Lloyds Banking  ,UK,UK,,,,,,Forum for the Future,,,,
2010-09-23,,Netherlands,UK,,,,,,Forum for the Future,,,,
2010-09-22,,US,Mexico,,,,,,Otros Mundos / FoE Mexico,,,,
2010-09-21,AXA ,France,France,,,,,,Amis de la Terre France / FoE France,,,,
2010-09-21,BNP Paribas ,France,France,,,,,,Amis de la Terre France / FoE France,,,,
2010-09-21,Deutsche Bank ,Germany,France,,,,,,Amis de la Terre France / FoE France,,,,
2010-09-21,,US,Japan,,,,,,Japan Center for Sustainable Environment JACSES,,,,
2010-09-17,Legal & General  ,UK,UK,,,,,,Greenpeace UK,,,,
2010-09-17,,US,US,,,,,,As You Sow,,,,
2010-09-16,,US,Germany,,,,,,Rettet den Regenwald (Rainforest Rescue),,,,
2010-09-15,,US,UK,US,,,,,Christian Aid UK,,,,
2010-09-08,Dexia ,Belgium,Belgium,,,,,,CRIOC,,,,
2010-08-20,,UK,UK,US,,,,,Corporate Ethics International,Climate Camp UK,,,
2010-08-19,Barclays  ,UK,Myanmar,,,,,,Burma Campaign UK,,,,
2010-08-18,JPMorgan Chase ,US,US,,,,,,Grameen Foundation,,,,
2010-08-16,Bank of America ,US,US,,,,,,Rainforest Action Network RAN,,,,
2010-08-16,,US,US,,,,,,Rainforest Action Network RAN,,,,
2010-08-16,JPMorgan Chase ,US,US,,,,,,Rainforest Action Network RAN,,,,
2010-08-16,Morgan Stanley ,US,US,,,,,,Rainforest Action Network RAN,,,,
2010-08-16,Wells Fargo ,US,US,,,,,,Rainforest Action Network RAN,,,,
2010-08-16,,US,India,South Africa,US,,,,Sierra Club U.S.A.,,,,
2010-08-16,,UK,Canada,UK,,,,,Rising Tide UK,Earth First UK,Climate Camp UK,,
2010-08-02,,UK,UK,,,,,,Which? (UK Consumers Association),,,,
2010-07-28,Bank of America ,US,US,,,,,,Environmental Working Group EWG,,,,
2010-07-27,,UK,UK,,,,,,PLATFORM ,Global Justice Now (formerly World Development Movement / WDM),,,
2010-07-26,,Sweden,Sweden,,,,,,Sveriges Konsumenter,,,,
2010-07-20,Goldman Sachs ,US,UK,,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2010-07-15,,UK,Canada,,,,,,Climate Camp UK,Tar Sands Network,,,
2010-07-15,Banco Bilbao Vizcaya Argentaria ,Spain,Spain,,,,,,OMAL Observatorio de las Multinacionales en America Latina,,,,
2010-07-15,,Spain,Spain,,,,,,OMAL Observatorio de las Multinacionales en America Latina,,,,
2010-07-14,Banco de Sabadell ,Spain,Spain,,,,,,Consumidores en Accion / FACUA,Asociacion General de Consumidores ASGECO,,,
2010-07-14,Banco Espanol de Credito ,Spain,Spain,,,,,,Consumidores en Accion / FACUA,Asociacion General de Consumidores ASGECO,,,
2010-07-13,Goldman Sachs ,US,Spain,,,,,,Ecologistas en Accion,,,,
2010-07-05,ING Groep ,Netherlands,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2010-07-05,,Netherlands,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2010-07-05,Aegon ,Netherlands,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2010-07-05,,Netherlands,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2010-07-05,,Netherlands,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2010-07-02,,UK,UK,,,,,,Tax Justice Network TJN,,,,
2010-06-30,,US,China,US,,,,,Institute for Global Labour & Human Rights IGLHR,,,,
2010-06-30,,US,US,,,,,,Blue Green Alliance,,,,
2010-06-30,,US,Nigeria,,,,,,Amnesty Italy,Amici della Terra / FoE Italy,CRBM Campagna per la Riforma della Banca Mondiale ,,
2010-06-21,Banco Bilbao Vizcaya Argentaria ,Spain,Spain,,,,,,Paz con Dignidad,OMAL Observatorio de las Multinacionales en America Latina,,,
2010-06-21,,Spain,Spain,,,,,,Paz con Dignidad,OMAL Observatorio de las Multinacionales en America Latina,,,
2010-06-18,,UK,UK,,,,,,Environmental Investigation Agency EIA,,,,
2010-06-18,Barclays  ,UK,UK,,,,,,Environmental Investigation Agency EIA,,,,
2010-06-18,Morgan Stanley ,US,UK,,,,,,Environmental Investigation Agency EIA,,,,
2010-06-18,Goldman Sachs ,US,UK,,,,,,Environmental Investigation Agency EIA,,,,
2010-06-18,,US,US,,,,,,Ceres/INCR,,,,
2010-06-18,,US,US,,,,,,Ceres/INCR,,,,
2010-06-15,,US,US,,,,,,350.org,Bank Information Center,Institute for Policy Studies U.S.,,
2010-06-08,Deutsche Bank ,Germany,Germany,,,,,,Dachverband der Kritischen Aktionarinnen und Aktio,Urgewald,,,
2010-06-07,HSBC   ,UK,UK,,,,,,Greenpeace UK,,,,
2010-06-03,AXA ,France,Belgium,,,,,,Friends of the Earth Europe / FoE Europe,Greenpeace Belgium,WWF Belgium,FairFin (previously Netwerk Vlaanderen),Bond Beter Leefmilieu BBL
2010-06-03,BNP Paribas ,France,Belgium,,,,,,Friends of the Earth Europe / FoE Europe,Greenpeace Belgium,WWF Belgium,FairFin (previously Netwerk Vlaanderen),Bond Beter Leefmilieu BBL
