"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"860Z200US00765","ZCTA5 00765","8249","1551","1256","86","7","1","3226","2122",
"860Z200US00766","ZCTA5 00766","22354","3501","1396","135","10","0","6258","11054",
"860Z200US00767","ZCTA5 00767","30646","5034","2917","202","8","7","11578","10900",
"860Z200US00769","ZCTA5 00769","34163","6828","2559","280","20","23","10215","14238",
"860Z200US00771","ZCTA5 00771","34761","5457","2826","219","29","3","11277","14950",
"860Z200US00772","ZCTA5 00772","17936","616","6755","60","16","0","2338","8151",
"860Z200US00773","ZCTA5 00773","17772","3051","2154","82","29","7","4771","7678",
"860Z200US00775","ZCTA5 00775","1792","317","143","5","4","0","285","1038",
"860Z200US00777","ZCTA5 00777","37717","4936","3469","178","11","1","11021","18101",
"860Z200US00778","ZCTA5 00778","40585","6142","2904","164","23","7","11494","19851",
"860Z200US00780","ZCTA5 00780","14934","2277","643","74","16","0","3766","8158",
"860Z200US00782","ZCTA5 00782","17965","3067","1215","159","5","7","4606","8906",
"860Z200US00783","ZCTA5 00783","34093","6788","1237","182","13","10","9318","16545",
"860Z200US00784","ZCTA5 00784","36313","6921","3486","216","30","6","11057","14597",
"860Z200US00786","ZCTA5 00786","273","94","6","1","0","0","89","83",
"860Z200US00791","ZCTA5 00791","47260","6426","4011","237","87","7","17225","19267",
"860Z200US00794","ZCTA5 00794","28791","6027","1454","118","12","10","8457","12713",
"860Z200US00795","ZCTA5 00795","43745","6236","3533","206","33","11","13149","20577",
"860Z200US00901","ZCTA5 00901","6218","1169","334","18","52","4","1231","3410",
"860Z200US00906","ZCTA5 00906","165","41","4","0","13","0","33","74",
"860Z200US00907","ZCTA5 00907","16864","3239","949","93","257","4","3239","9083",
"860Z200US00909","ZCTA5 00909","6987","937","513","35","22","0","1748","3732",
"860Z200US00911","ZCTA5 00911","7496","1693","416","55","76","3","1544","3709",
"860Z200US00912","ZCTA5 00912","5786","649","649","40","13","0","1281","3154",
"860Z200US00913","ZCTA5 00913","7261","1193","1393","35","12","2","1301","3325",
"860Z200US00915","ZCTA5 00915","25075","2342","4065","190","20","3","5837","12618",
"860Z200US00917","ZCTA5 00917","17319","2183","1312","205","47","2","3790","9780",
"860Z200US00918","ZCTA5 00918","17439","3002","1056","113","90","2","3930","9246",
"860Z200US00920","ZCTA5 00920","14798","2073","1382","84","48","3","3641","7567",
"860Z200US00921","ZCTA5 00921","32062","4334","2736","179","84","4","7732","16993",
"860Z200US00923","ZCTA5 00923","23607","2844","2331","166","33","5","6188","12040",
"860Z200US00924","ZCTA5 00924","49654","6370","4311","286","91","15","12348","26233",
