ticker,date,excess_resid
AAPL,2009-07-10,0.01801601638631975
AAPL,2009-07-13,0.009843917562519875
BAC,2009-07-13,0.02194897490985369
NFLX,2009-07-13,0.03459395519217092
AAPL,2009-07-29,0.003263675156877654
AAPL,2009-07-30,0.007067230032599615
AAPL,2009-07-31,0.0074637470020777474
AAPL,2009-08-05,0.012612439742309769
AAPL,2009-08-14,-0.003632624056451001
AAPL,2009-08-18,0.023348437356087586
AAPL,2009-08-21,0.0006228715148393071
JNJ,2009-08-21,-0.0005596688777413615
AAPL,2009-08-24,-0.0033363566860039784
AAPL,2009-08-28,0.011289253810046414
DIS,2009-08-31,-0.019759094904062108
AAPL,2009-09-01,-0.009709246512458004
DIS,2009-09-01,0.008244884054041817
V,2009-09-02,0.002153734214385736
ADBE,2009-09-02,-0.0021302003684654123
BAC,2009-09-02,0.007248517888623147
NFLX,2009-09-02,-0.008935395289854632
AAPL,2009-09-02,0.0008463479871572614
BAC,2009-09-03,0.002590101876915822
VZ,2009-09-03,-0.0001467117932829982
AAPL,2009-09-03,0.004685483500080173
V,2009-09-03,0.0023421226978531193
JNJ,2009-09-03,-0.0044811363027859145
BAC,2009-09-04,-0.000894291846443792
DIS,2009-09-04,0.003972537154484939
VZ,2009-09-04,0.002059514823762338
AAPL,2009-09-04,0.009950783260691912
V,2009-09-04,-0.02109319912760743
DIS,2009-09-08,0.004904964461936948
AMZN,2009-09-08,0.016952036824477122
AAPL,2009-09-08,0.004427425993450834
BAC,2009-09-08,-0.013490257919024546
V,2009-09-08,-0.0014663481958389468
BAC,2009-09-09,-0.019820813359561918
V,2009-09-09,-0.013638313090685281
AAPL,2009-09-09,-0.014828549704815036
AMZN,2009-09-09,0.013630719049981038
BAC,2009-09-10,-0.01689863872505643
DIS,2009-09-10,0.040192855001935354
AAPL,2009-09-10,0.002259011155443527
V,2009-09-10,0.016218516123302967
JNJ,2009-09-10,-0.008527630602739195
V,2009-09-11,0.000836050663373357
JNJ,2009-09-11,-0.004103502281541724
BAC,2009-09-11,-0.008289840948618808
DIS,2009-09-11,0.0018678368643158289
AAPL,2009-09-11,-0.0032213510443718668
AMZN,2009-09-11,0.009643051676253945
WMT,2009-09-11,-0.007880301649442976
VZ,2009-09-11,-0.003994983285906152
AAPL,2009-09-14,0.008280229068456208
JNJ,2009-09-14,-0.005564179043779509
BAC,2009-09-14,-0.015774423525807723
AMZN,2009-09-14,-0.006840981436364223
V,2009-09-14,0.002778293668782336
AAPL,2009-09-15,0.005730706177644049
VZ,2009-09-15,-0.0025233838330832484
AMZN,2009-09-15,-0.005315090300316642
ADBE,2009-09-15,0.009453995418334674
WMT,2009-09-15,-0.008770648140465454
JNJ,2009-09-15,-0.0023799577340565398
V,2009-09-15,0.0010079750809578862
V,2009-09-16,-0.004290613437686341
ADBE,2009-09-16,-0.07839868327024818
HD,2009-09-16,0.013382803075849376
AMZN,2009-09-16,0.07319901044798997
INTC,2009-09-16,-0.007678343526193886
BAC,2009-09-16,-0.018861807568419493
AAPL,2009-09-16,0.026983609146205366
AAPL,2009-09-17,0.015401659863017959
VZ,2009-09-17,-0.02662824845732541
JNJ,2009-09-17,0.012269458153573887
PG,2009-09-17,0.007172227652828817
WMT,2009-09-17,0.0008853879204196403
AMZN,2009-09-17,-0.004784984644352692
BAC,2009-09-18,0.004593841350163422
AMZN,2009-09-18,-0.0030680090111309013
PG,2009-09-18,0.028525951599637958
VZ,2009-09-18,-0.0006925362695125274
JNJ,2009-09-18,-0.0028050049741937424
AAPL,2009-09-18,-0.00022387359991925563
WMT,2009-09-18,-0.00027790592722993883
WMT,2009-09-21,0.0168734849633959
NFLX,2009-09-21,-0.00039977123351466045
VZ,2009-09-21,-0.003192649160353038
AMZN,2009-09-21,0.0020636134664646535
AAPL,2009-09-21,-0.0034739146307768373
BAC,2009-09-22,-0.01355712816401694
NFLX,2009-09-22,0.0067173123355888514
AAPL,2009-09-22,0.0015695153622912357
HD,2009-09-22,-0.02170495422088988
INTC,2009-09-22,-0.003773210639893435
AMZN,2009-09-22,0.03645556286637941
ADBE,2009-09-23,-0.005798793899466978
WMT,2009-09-23,-0.006657905078258226
AAPL,2009-09-23,0.0116959829474868
BAC,2009-09-23,0.019817501895988417
AMZN,2009-09-23,-0.011941516084061837
VZ,2009-09-23,0.018331910788979812
VZ,2009-09-24,0.013128745686436176
V,2009-09-24,0.0018586907988263415
NFLX,2009-09-24,-0.006046247936028086
AAPL,2009-09-24,-0.00919681970872006
AMZN,2009-09-24,-0.006063013869082316
