ticker,date,n_tweets,sent_index
AAPL,2009-07-10,1,0.0
AAPL,2009-07-13,3,0.0
AAPL,2009-07-29,1,1.0
AAPL,2009-07-30,1,0.0
AAPL,2009-07-31,2,-0.5
AAPL,2009-08-05,2,0.0
AAPL,2009-08-14,1,0.0
AAPL,2009-08-18,2,0.0
AAPL,2009-08-21,1,1.0
AAPL,2009-08-24,3,0.6666666666666666
AAPL,2009-08-28,4,1.0
AAPL,2009-08-30,4,0.5
AAPL,2009-09-01,7,0.14285714285714285
AAPL,2009-09-02,1,1.0
AAPL,2009-09-03,3,0.0
AAPL,2009-09-04,5,0.4
AAPL,2009-09-07,3,0.3333333333333333
AAPL,2009-09-08,8,0.375
AAPL,2009-09-09,42,-0.4
AAPL,2009-09-10,13,-0.4
AAPL,2009-09-11,9,0.0
AAPL,2009-09-12,2,1.0
AAPL,2009-09-13,2,0.0
AAPL,2009-09-14,13,0.1
AAPL,2009-09-15,6,0.3333333333333333
AAPL,2009-09-16,31,0.2
AAPL,2009-09-17,21,0.3
AAPL,2009-09-18,10,0.2
AAPL,2009-09-21,4,0.25
AAPL,2009-09-22,7,-0.2857142857142857
AAPL,2009-09-23,13,-0.1
AAPL,2009-09-24,13,0.3
AAPL,2009-09-25,11,0.1
AAPL,2009-09-26,1,-1.0
AAPL,2009-09-28,13,0.1
AAPL,2009-09-29,11,-0.1
AAPL,2009-09-30,9,0.2222222222222222
AAPL,2009-10-01,17,0.2
AAPL,2009-10-02,13,0.1
AAPL,2009-10-03,1,0.0
AAPL,2009-10-05,8,0.5
AAPL,2009-10-06,15,0.2
AAPL,2009-10-07,10,0.5
AAPL,2009-10-08,5,0.2
AAPL,2009-10-09,7,0.0
AAPL,2009-10-10,1,0.0
AAPL,2009-10-11,1,0.0
AAPL,2009-10-12,5,-0.4
AAPL,2009-10-13,9,-0.1111111111111111
AAPL,2009-10-14,11,0.3
AAPL,2009-10-15,6,0.16666666666666666
AAPL,2009-10-16,9,0.0
AAPL,2009-10-17,3,1.0
AAPL,2009-10-18,3,0.3333333333333333
AAPL,2009-10-19,79,0.0
AAPL,2009-10-20,30,0.5
AAPL,2009-10-21,13,-0.1
AAPL,2009-10-22,27,-0.1
AAPL,2009-10-23,11,0.0
AAPL,2009-10-24,1,1.0
AAPL,2009-10-26,6,0.3333333333333333
