date,isin_corporate_name_cleaned,company_parent_country,company_parent,sentiment,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2010-12-03,,US,ISDA ,-1,EU-Brussels,,,,,,Corporate Europe Observatory / CEO,,,,
2010-12-03,Aimia ,UK,AIMA,-1,EU-Brussels,,,,,,Corporate Europe Observatory / CEO,,,,
2010-12-03,,EU-Brussels,EVCA ,-1,EU-Brussels,,,,,,Corporate Europe Observatory / CEO,,,,
2010-12-01,,UK,Financial Reporting Council,-1,UK,,,,,,ClientEarth,,,,
2010-12-01,,UK,Financial Reporting Council,-1,UK,,,,,,ClientEarth,,,,
2010-11-29,Aviva  ,UK,Aviva,1,UK,,,,,,WWF UK,,,,
2010-11-29,,UK,Barnsley Building Society,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2010-11-29,,UK,Cambridge Building Society,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2010-11-29,,UK,Chelsea Building Society,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2010-11-29,,UK,Leeds Building Society,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2010-11-29,,UK,Saffron Building Society,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2010-11-29,,France,Auchan,-1,Spain,,,,,,Consumidores en Accion / FACUA,COAG Spain,,,
2010-11-26,,Spain,Grupo Santander,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2010-11-26,HSBC   ,UK,HSBC,1,UK,,,,,,Which? (UK Consumers Association),,,,
2010-11-22,JPMorgan Chase ,US,JP Morgan Chase,-1,US,,,,,,Stand / ForestEthics,,,,
2010-11-18,Aviva  ,UK,Aviva,-1,UK,,,,,,Oxfam GB,,,,
2010-11-18,,France,Credit Agricole,-1,UK,,,,,,Oxfam GB,,,,
2010-11-18,Henderson  ,UK,Henderson Global Investors,-1,UK,,,,,,Oxfam GB,,,,
2010-11-18,,US,Calvert Investments,-1,UK,,,,,,Oxfam GB,,,,
2010-11-16,,France,Credit Agricole,1,France,Indonesia,South Africa,,,,Amis de la Terre France / FoE France,,,,
2010-11-10,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-1,Australia,,,,,,Wilderness Society Australia,,,,
2010-11-09,,France,Auchan,-1,Spain,,,,,,Greenpeace Spain,,,,
2010-11-08,,US,World Bank,0,UK,,,,,,Oxfam International,,,,
2010-11-04,Bank of America ,US,Bank of America,1,US,,,,,,Rainforest Action Network RAN,,,,
2010-11-04,,US,Citigroup,1,US,,,,,,Rainforest Action Network RAN,,,,
2010-11-04,JPMorgan Chase ,US,JP Morgan Chase,1,US,,,,,,Rainforest Action Network RAN,,,,
2010-11-04,Morgan Stanley ,US,Morgan Stanley,1,US,,,,,,Rainforest Action Network RAN,,,,
2010-11-04,Wells Fargo ,US,Wells Fargo & Wachovia,1,US,,,,,,Rainforest Action Network RAN,,,,
2010-11-04,,US,PNC Bank,1,US,,,,,,Rainforest Action Network RAN,,,,
2010-11-03,Deutsche Bank ,Germany,Deutsche Bank,-1,Malaysia,,,,,,Bruno Manser Fonds,,,,
2010-11-03,,US,World Bank,0,Turkmenistan,,,,,,Crude Accountability,,,,
2010-11-02,Bank of America ,US,Bank of America,-1,UK,,,,,,Stop Huntingdon Animal Cruelty / SHAC,,,,
2010-11-02,JPMorgan Chase ,US,JP Morgan Chase,-1,UK,,,,,,Stop Huntingdon Animal Cruelty / SHAC,,,,
2010-11-02,,US,Fortress Investment Group LLC,-1,UK,,,,,,Stop Huntingdon Animal Cruelty / SHAC,,,,
2010-11-01,Dexia ,Belgium,Dexia Bank,-1,Belgium,Israel,,,,,FairFin (previously Netwerk Vlaanderen),Intal,,,
2010-11-01,Standard Chartered  ,UK,Standard Chartered Bank,1,China,,,,,,Green Watershed (China),GEI China,Friends of Nature China FON,Institute of Public & Environmental Affairs (IPE - China),Green Earth Volunteers (GEV) China
2010-11-01,Bank of America ,US,Bank of America,-1,US,,,,,,Stand / ForestEthics,,,,
2010-11-01,Berkshire Hathaway ,US,Berkshire Hathaway INC.,-1,US,,,,,,Stand / ForestEthics,,,,
2010-11-01,,US,Travelers Companies,-1,US,,,,,,Stand / ForestEthics,,,,
2010-11-01,American Express ,US,American Express Company,-1,US,,,,,,Stand / ForestEthics,,,,
2010-10-28,,US,PNC Bank,-1,US,,,,,,Rainforest Action Network RAN,,,,
2010-10-28,Swedbank ,Sweden,Swedbank AB,1,Sweden,,,,,,Greenpeace Norway,,,,
